Definition,Statement
6.7,A linear functional on $\mathscr{D}(\Omega)$ which is continuous (with respect to the topology $\tau$ described in Definition 6.3) is called a distribution in $\Omega$. The space of all distributions in $\Omega$ is denoted by $\mathscr{D}^{\prime}(\Omega)$.
6.22,"Suppose $\Lambda \in \mathscr{D}^{\prime}(\Omega)$. If $\omega$ is an open subset of $\Omega$ and if $\Lambda \phi=0$ for every $\phi \in \mathscr{D}(\omega)$, we say that $\Lambda$ vanishes in $\omega$. Let $W$ be the union of all open $\omega \subset \Omega$ in which $\Lambda$ vanishes. The complement of $W$ (relative to $\Omega$ ) is the support of $\Lambda$."
1.33 (a),A seminorm on a vector space $X$ is a real-valued function $p$ on $X$ such that $p(x+y) \leq p(x)+p(y)$ for all $x$ and $y$ in $X$. This property is called subadditivity.
1.33 (b),A seminorm on a vector space $X$ is a real-valued function $p$ on $X$ such that $p(\alpha x)=|\alpha| p(x)$ for all $x$ in $X$ and all scalars $\alpha$.
4.16,"Suppose $X$ and $Y$ are Banach spaces and $U$ is the open unit ball in $X$. A linear map $T: X \rightarrow Y$ is said to be compact if the closure of $T(U)$ is compact in $Y$. It is clear that $T$ is then bounded. Thus $T \in \mathscr{B}(X, Y)$.

Since $Y$ is a complete metric space, the subsets of $Y$ whose closure is compact are precisely the totally bounded ones. Thus $T \in \mathscr{B}(X, Y)$ is compact if and only if $T(U)$ is totally bounded. Also, $T$ is compact if and only if every bounded sequence $\left\{x_{n}\right\}$ in $X$ contains a subsequence $\left\{x_{n_{i}}\right\}$ such that $\left\{T x_{n_{i}}\right\}$ converges to a point of $Y$."
2.16,"Suppose $X, Y, Z$ are vector spaces and $B$ maps $X \times Y$ into $Z$. Associate to each $x \in X$ and to each $y \in Y$ the mappings

$$
B_{x}: Y \rightarrow Z \text { and } B^{y}: X \rightarrow Z
$$

by defining

$$
B_{x}(y)=B(x, y)=B^{y}(x) \text {. }
$$

$B$ is said to be bilinear if every $B_{x}$ and every $B^{y}$ are linear.

If $X, Y, Z$ are topological vector spaces and if every $B_{x}$ and every $B^{y}$ is continuous, then $B$ is said to be separately continuous. If $B$ is continuous (relative to the product topology of $X \times Y$ ) then $B$ is obviously separately continuous. In certain situations, the converse can be proved with the aid of the Banach-Steinhaus theorem."
3.30 (a),For an open set $\Omega$ in $\mathbb{C}$ and a complex topological vector space $X$: A function $f: \Omega \rightarrow X$ is said to be weakly holomorphic in $\Omega$ if $\Lambda f$ is holomorphic in the ordinary sense for every $\Lambda \in X^{*}$.
3.30 (b),"For an open set $\Omega$ in $\mathbb{C}$ and a complex topological vector space $X$: A function $f: \Omega \rightarrow X$ is said to be strongly holomorphic in $\Omega$ if

$$
\lim _{w \rightarrow z} \frac{f(w)-f(z)}{w-z}
$$

exists (in the topology of $X$ ) for every $z \in \Omega$. Note that the above quotient is the product of the scalar $(w-z)^{-1}$ and the vector $f(w)-f(z)$ in $X$. The continuity of the functionals $\Lambda$ that occur in $(a)$ makes it obvious that every strongly holomorphic function is weakly holomorphic. The converse is true when $X$ is a Fr\'echet space, but it is far from obvious. (Recall that weakly convergent sequences may very well fail to converge originally.) The Cauchy theorem will play an important role in this proof, as will Theorem 3.18."
5.12,"A topological group is a group $G$ in which a topology is defined that makes the group operations continuous. The most concise way to express this requirement is to postulate the continuity of the mapping $\phi: G \times G \rightarrow G$ defined by

$$
\phi(x, y)=x y^{-1}
$$

For each $a \in G$, the mappings $x \rightarrow a x$ and $x \rightarrow x a$ are homeomorphisms of $G$ onto $G$; so is $x \rightarrow x^{-1}$. The topology of $G$ is therefore completely determined by any local base at the identity element $e$.

If we require (as we shall from now on) that every point of $G$ is a closed set, then the analogues of Theorems 1.10 to 1.12 hold (with exactly the same
proofs, except for changes in notation); in particular, the Hausdorff separation axiom holds.

If $f$ is any function with domain $G$, its left translates $L_{s} f$ and its right translates $R_{s} f$ are defined, for every $s \in G$, by

$$
\left(L_{s} f\right)(x)=f(s x), \quad\left(R_{s} f\right)(x)=f(x s) \quad(x \in G)
$$

A complex function $f$ on $G$ is said to be uniformly continuous if to every $\varepsilon>0$ corresponds a neighborhood $V$ of $e$ in $G$ such that

$$
|f(t)-f(s)|<\varepsilon
$$

whenever $s \in G, t \in G$, and $s^{-1} t \in V$.

A topological group $G$ whose topology is compact is called a compact group; in this case, $C(G)$ is, as usual, the Banach space of all complex continuous functions on $G$, with the supremum norm."
1.31,"Suppose $X$ and $Y$ are topological vector spaces and $\Lambda: X \rightarrow Y$ is linear. $\Lambda$ is said to be bounded if $\Lambda$ maps bounded sets into bounded sets, i.e., if $\Lambda(E)$ is a bounded subset of $Y$ for every bounded set $E \subset X$. This definition conflicts with the usual notion of a bounded function as being one whose range is a bounded set. In that sense, no linear function (other than 0 ) could ever be bounded. Thus when bounded linear mappings (or transformations) are discussed, it is to be understood that the definition is in terms of bounded sets, as above."
