Definition,Statement
1.40,"For a subspace $N$ of a vector space $X$: Let $	au_{N}$ be the collection of all sets $E \subset X / N$ for which $
\pi^{-1}(E) \in \tau$. Then $
\tau_{N}$ turns out to be a topology on $X / N$, called the quotient topology. Some of its properties are listed in the next theorem. Recall that an open mapping is one that maps open sets to open sets."
6.7,A linear functional on $\mathscr{D}(\Omega)$ which is continuous (with respect to the topology $\tau$ described in Definition 6.3 <> ) is called a distribution in $\Omega$. The space of all distributions in $\Omega$ is denoted by $\mathscr{D}^{\prime}(\Omega)$.
6.22,"For a distribution $\
\Lambda \in \mathscr{D}^{\prime}(\Omega)$: If $\omega$ is an open subset of $\Omega$ and if $\Lambda \phi=0$ for every $\phi \in \mathscr{D}(\omega)$, we say that $\Lambda$ vanishes in $\omega$. Let $W$ be the union of all open $\omega \subset \Omega$ in which $\Lambda$ vanishes. The complement of $W$ (relative to $\Omega$ ) is the support of $\Lambda$."
4.16,"For Banach spaces $X$ and $Y$ and the open unit ball $U$ in $X$: A linear map $T: X \rightarrow Y$ is said to be compact if the closure of $T(U)$ is compact in $Y. It is clear that $T$ is then bounded. Thus $T \in \mathscr{B}(X, Y)$.

Since $Y$ is a complete metric space, the subsets of $Y$ whose closure is compact are precisely the totally bounded ones. Thus $T \in \mathscr{B}(X, Y)$ is compact if and only if $T(U)$ is totally bounded. Also, $T$ is compact if and only if every bounded sequence $\left\{x_{n}\right\}$ in $X$ contains a subsequence $\left\{x_{n_{i}}\right\}$ such that $\left\{T x_{n_{i}}\right\}$ converges to a point of $Y$.

Many of the operators that arise in the study of integral equations are compact. This accounts for their importance from the standpoint of applications. They are in some respects as similar to linear operators on finitedimensional spaces as one has any right to expect from operators on infinite-dimensional spaces. As we shall see, these similarities show up particularly strongly in their spectral properties."
6.31,"The term approximate identity on $R^{n}$ will denote a sequence of functions $h_{j}$ of the form

$$
h_{j}(x)=j^{n} h(j x) \quad(j=1,2,3, \ldots)
$$

where $h \in \mathscr{D}\left(R^{n}\right), h \geq 0$, and $\int_{R^{n}} h(x) d x=1$."
2.16,"For vector spaces $X, Y, Z$ and a mapping $B: X \times Y \rightarrow Z$: $B$ is said to be bilinear if every $B_{x}$ and every $B^{y}$ are linear.

If $X, Y, Z$ are topological vector spaces and if every $B_{x}$ and every $B^{y}$ is continuous, then $B$ is said to be separately continuous. If $B$ is continuous (relative to the product topology of $X \times Y$ ) then $B$ is obviously separately continuous. In certain situations, the converse can be proved with the aid of the Banach-Steinhaus theorem."
6.34,"For $u \in \mathscr{D}^{\prime}$ with compact support: $u$ extends in a unique fashion to a continuous linear functional on $C^{\infty}$. One can therefore define the convolution of $u$ and any $\phi \in C^{\infty}$ by the same formula as before, namely,

$$
(u * \phi)(x)=u\left(\tau_{x} \tilde{\phi}\right) \quad\left(x \in R^{n}\right)
$$"
7.18,"If $u \in \mathscr{S}_{n}^{\prime}$ and $\phi \in \mathscr{S}_{n}$, then

$$
(u * \phi)(x)=u\left(\tau_{x} \not\right) \quad\left(x \in R^{n}\right)
$$

Note that this is well defined, since $\tau_{x} \not{\phi} \in \mathscr{S}_{n}$ for every $x \in R^{n}$."
8.10,For an open set $\Omega$ in $R^{n}$: A distribution $u \in \mathscr{D}^{\prime}(\Omega)$ is said to be locally $H^{s}$ if there corresponds to each point $x \in \Omega$ a distribution $v \in H^{s}$ such that $u=v$ in some neighborhood $\omega$ of $x$. (See Section 6.19.)
1.33 (a),A seminorm on a vector space $X$ is a real-valued function $p$ on $X$ such that $p(x+y) \leq p(x)+p(y)$ for all $x$ and $y$ in $X$. This property is called subadditivity.
1.33 (b),A seminorm on a vector space $X$ is a real-valued function $p$ on $X$ such that $p(\alpha x)=|\alpha| p(x)$ for all $x$ in $X$ and all scalars $\alpha$.
