Type,Formula#,Type#,latex
1.1,1,Theorem,"$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]"
1.18,1,Theorem,"
\[
(x+V) \cap \mathscr{N}(\Lambda)=\varnothing
\]"
1.24,9,Theorem,"$$
\[
B_{\delta}=\{x: f(x)<\delta\}=\bigcup_{r<\delta} A(r)
\]"
1.24,8,Theorem," $f(x+y) \leq f(x)+f(y) \quad(x \in X, y \in X)$."
1.24,1,Theorem," $V_{n+1}+V_{n+1}+V_{n+1}+V_{n+1} \subset V_{n} \quad(n+1,2,3, \ldots)$;"
1.24,3,Theorem,"
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]"
1.24,2,Theorem,"
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]"
1.24,6,Theorem,"
\[
A(r)+A(s) \subset A(r+s) \quad(r \in D, s \in D) .
\]"
1.24,7,Theorem," $A(r) \subset A(r)+A(t-r) \subset A(t) \quad$ if $\quad r<t$."
1.24,5,Theorem,"
\[
d(x, y)=f(x-y) \quad(x \in X, y \in X) .
\]"
1.24,4,Theorem," $f(x)=\inf \{r: x \in A(r)\} \quad(x \in X)$"
1.27,8,Theorem,"
\[
\sum_{\beta \leq \alpha}(-1)^{|\beta|} c_{\alpha \beta} D^{\beta}\left(\phi D^{\alpha-\beta} f\right)=(-1)^{|\alpha|} f D^{\alpha} \phi
\]"
1.27,1,Theorem,"
\[
|\alpha|=\alpha_{1}+\cdots+\alpha_{n},
\]"
1.27,2,Theorem,"$$
\[
D^{\alpha}=D_{1}^{\alpha} \cdots D_{n}^{\alpha_{n}}, \quad \text { where } D_{j}=\frac{\partial}{\partial x_{j}}
\]"
1.27,3,Theorem," $\beta \leq \alpha$ means $\beta_{i} \leq \alpha_{i}$ for $1 \leq i \leq n$,"
1.27,7,Theorem,"
\[
x^{\alpha}=x_{1}^{\alpha_{1}} \cdots x_{n}^{\alpha_{n}} .
\]"
1.27,6,Theorem,"
\[
|x|=(x \cdot x)^{1 / 2}=\left(x_{1}^{2}+\cdots+x_{n}^{2}\right)^{1 / 2} \text {. }
\]"
1.27,4,Theorem,"
\[
\alpha \pm \beta=\left(\alpha_{1} \pm \beta_{1}, \ldots, \alpha_{n} \pm \beta_{n}\right) .
\]"
1.27,5,Theorem,"$$
\[
x \cdot y=x_{1} y_{1}+\cdots+x_{n} y_{n},
\]"
1.35,4,Theorem," $\quad V\left(p_{i}, \delta_{i}\right)=\left\{x: p_{i}(x)<\delta_{i}<1\right\} \quad(1 \leq i \leq k)$."
1.35,1,Theorem,"
\[
U \supset V\left(p_{1}, n_{1}\right) \cap \cdots \cap V\left(p_{m}, n_{m}\right)
\]"
1.35,2,Theorem,"
\[
V=V\left(p_{1}, 2 n_{1}\right) \cap \cdots \cap V\left(p_{m}, 2 n_{m}\right) .
\]"
1.35,3,Theorem,"
\[
\left\{x: p_{i}(x)<\frac{r}{c_{i}-r}\right\}
\]"
1.39,2,Theorem,"
\[
\{x:\|x\|<r\}=r U
\]"
1.39,1,Theorem,"
\[
\|x\|=\mu(x) \quad(x \in X)
\]"
1.4,2,Definition," $\quad \pi(x)+\pi(y)=\pi\left(x^{\prime}\right)+\pi\left(y^{\prime}\right), \quad \alpha \pi\left(x^{\prime}\right)=\alpha \pi(x)$."
1.4,1,Definition,"
\[
\pi(x)+\pi(y)=\pi(x+y), \quad \alpha \pi(x)=\pi(\alpha x) .
\]"
1.42,4,Theorem," $|f(x)| \leq M_{n} \quad$ if $f \in E$ and $x \in K_{n}$."
1.42,5,Theorem,"
\[
V_{N}=\left\{f \in C^{\infty}(\Omega): p_{N}(f)<\frac{1}{N}\right\} \quad(N=1,2,3, \ldots)
\]"
1.42,7,Theorem,"
\[
m_{n}=\frac{2^{n}}{\delta_{1} \cdots \delta_{n}} \quad(n=1,2,3, \ldots)
\]"
1.42,6,Theorem,"
\[
\phi\left(x_{1}, \ldots, x_{n}\right)=1-g\left(x_{1}^{2}+\cdots+x_{n}^{2}\right) .
\]"
1.42,2,Theorem,"
\[
V_{n}=\left\{f \in C(\Omega): p_{n}(f)<\frac{1}{n}\right\} \quad(n=1,2,3, \ldots)
\]"
1.42,3,Theorem,"
\[
|\alpha|=\alpha_{1}+\cdots+\alpha_{n} .
\]"
1.42,1,Theorem,"$$
\[
p_{n}(f)=\sup \left\{|f(x)|: x \in K_{n}\right\},
\]"
1.42,11,Theorem,"
\[
\left|D^{r} f_{n}-D^{r} f_{n-1}\right| \leq m_{r+1} \delta_{n} \quad(n \geq r+2)
\]"
1.42,10,Theorem,"$$
\[
\left|D^{r} f_{n}\right| \leq m_{r} \quad(n \geq r)
\]"
1.42,8,Theorem,"
\[
f_{n}(x)=\frac{1}{\delta_{n}} \int_{x-\delta_{n}}^{x} f_{n-1}(t) d t \quad(n=1,2,3, \ldots)
\]"
2.17,1,Theorem,"
\[
B\left(x_{n}, y_{n}\right) \rightarrow B\left(x_{0}, y_{0}\right) \text { in } Z
\]"
2.6,3,Theorem," $\|\Lambda x\| \leq M\|x\| \quad$ if $x \in X$ and $\Lambda \in \Gamma$."
2.6,2,Theorem,$$ $\|\Lambda x\| \leq M \quad$ if $\|x\| \leq 1$ and $\Lambda \in \Gamma$.
2.6,1,Theorem," $\sup _{\Lambda \in \Gamma}\|\Lambda x\|<\infty \quad$ for every $x \in X$."
2.9,7,Theorem,"
\[
\sum_{n=1}^{m} \Lambda x_{n}=\sum_{n=1}^{m}\left(y_{n}-y_{n+1}\right)=y_{1}-y_{m+1} \text {, }
\]"
2.9,6,Theorem,"
\[
z-x_{0}=p^{-1}\left(x-x_{0}\right) \in V,
\]"
2.9,4,Theorem,"
\[
K \subset x_{0}+p V .
\]"
2.9,10,Theorem,"$$
\[
f(E)=\Lambda\left(\pi^{-1}(E)\right)
\]"
2.9,5,Theorem,"
\[
z=\left(1-p^{-1}\right) x_{0}+p^{-1} x
\]"
2.9,1,Theorem,"
\[
E=\bigcap_{\Lambda \in \Gamma} \Lambda^{-1}(\bar{U}) .
\]"
2.9,2,Theorem,"
\[
K=\bigcup_{n=1}^{\infty}(K \cap n E)
\]"
2.9,3,Theorem,"
\[
K \cap\left(x_{0}+V\right) \subset n E,
\]"
2.9,8,Theorem,"
\[
f(x+N)=\Lambda x \quad(x \in X) .
\]"
2.9,9,Theorem,"
\[
f^{-1}(V)=\pi\left(\Lambda^{-1}(V)\right)
\]"
3.1,4,Definition,"
\[
f_{1}\left(x+t x_{1}\right)=f(x)+t \alpha \quad(x \in M, t \in R) .
\]"
3.1,1,Definition,"
\[
f(x)=u(x)-i u(i x) \quad(x \in X)
\]"
3.1,2,Definition,"$$
\[
f(x)-\alpha \leq p\left(x-x_{1}\right) \quad(x \in M)
\]"
3.1,3,Definition,"
\[
f(y)+\alpha \leq p\left(y+x_{1}\right) \quad(y \in M) .
\]"
3.1,1,Theorem,"$$
\[
V=\left\{x:\left|\Lambda_{i} x\right|<r_{i} \text { for } 1 \leq i \leq n\right\}
\]"
3.13,4,Theorem," $W_{2}=\left\{f \in P:\left|f\left(x_{i}\right)-\Lambda_{0} x_{i}\right|<\delta\right.$ for $\left.1 \leq i \leq n\right\}$."
3.13,1,Theorem,"
\[
|\Lambda x| \leq \gamma(x) \quad(x \in X, \Lambda \in K) .
\]"
3.13,3,Theorem," $\quad W_{1}=\left\{\Lambda \in X^{*}:\left|\Lambda x_{i}-\Lambda_{0} x_{i}\right|<\delta\right.$ for $\left.1 \leq i \leq n\right\}$"
3.13,2,Theorem,"
\[
|f(x)| \leq \gamma(x) \quad(x \in X) .
\]"
3.18,7,Theorem,"
\[
\|x\| \leq \gamma \quad(x \in E) .
\]"
3.18,6,Theorem,"
\[
\sup _{x \in E}|\Lambda x|<\infty \quad\left(\Lambda \in X^{*}\right)
\]"
3.18,4,Theorem,"
\[
|\Lambda x| \leq \gamma \quad(x \in E, \Lambda \in K) .
\]"
3.18,5,Theorem,"
\[
E \subset t \bar{V} \subset t U \quad(t>\gamma)
\]"
3.18,1,Theorem," $K=\left\{\Lambda \in X^{*}:|\Lambda x| \leq 1\right.$ for all $\left.x \in V\right\}$."
3.18,2,Theorem,$$ $\bar{V}=\{x \in X:|\Lambda x| \leq 1 \quad$ for all $\Lambda \in K\}$
3.18,3,Theorem,"
\[
|\Lambda x| \leq \gamma(\Lambda) \quad(x \in E) .
\]"
3.2,3,Theorem,"
\[
\phi: C(Q)^{*} \rightarrow X
\]"
3.2,2,Theorem,"$$
\[
\mu(E)=\sup \{\mu(K): K \subset E\}=\inf \{\mu(G): E \subset G\}
\]"
3.2,10,Theorem,"
\[
\int_{Q} \Lambda_{i} d \mu=\Lambda_{i}\left(\int_{Q} x d \mu(x)\right)=\Lambda_{i} \phi(\mu)
\]"
3.2,5,Theorem,"$$
\[
\sum_{i=1}^{n} c_{i} \Lambda_{i} f(q)<\sum_{i=1}^{n} c_{i} t_{i} \quad(q \in Q)
\]"
3.2,4,Theorem,"
\[
\sum_{i=1}^{n} c_{i} u_{i}<\sum_{i=1}^{n} c_{i} t_{i}
\]"
3.2,6,Theorem,"
\[
\Lambda_{i} y=m_{i}=\int_{Q}\left(\Lambda_{i} f\right) d \mu \quad(1 \leq i \leq n)
\]"
3.2,7,Theorem,"
\[
E=\left\{\mu: \int_{Q} 1 d \mu=1\right\}
\]"
3.2,8,Theorem,"
\[
\left(a_{1}, \ldots, a_{k+1}\right) \rightarrow\left(\sum_{1}^{k+1} a_{i} x_{i}, \sum_{1}^{k+1} a_{i}\right)
\]"
3.2,2,Theorem,"
\[
\alpha f(s, a)+\beta f(t, b)=f(u, c)
\]"
3.2,3,Theorem,"
\[
c_{i}=\frac{\alpha s_{i} a_{i}+\beta t_{i} b_{i}}{\alpha s_{i}+\beta t_{i}} \in A_{i} \quad(1 \leq i \leq n)
\]"
3.2,1,Theorem,"
\[
f(s, a)=s_{1} a_{1}+\cdots+s_{n} a_{n}
\]"
3.2,4,Theorem,"
\[
c o(E) \subset c o(F)+V .
\]"
3.2,5,Theorem,"$$
\[
c o(E) \subset F_{1}+V+V \subset F_{1}+U .
\]"
3.2,7,Theorem,"
\[
\left(t, x_{1}, \ldots, x_{n+1}\right) \rightarrow t_{1} x_{1}+\cdots+t_{n+1} x_{n+1} .
\]"
3.2,6,Theorem,"
\[
x=t_{1} x_{1}+\cdots+t_{n+1} x_{n+1}
\]"
