Chapter,Type,Type#,Formula#,Path,latex
3,3.24,Theorem,1,functional/3.24 Theorem_3_1.jpg,"
\[
(p+\bar{V}) \cap K=\varnothing
\]"
2,2.9,Theorem,7,functional/2.9 Theorem_2_7.jpg,"
\[
\sum_{n=1}^{m} \Lambda x_{n}=\sum_{n=1}^{m}\left(y_{n}-y_{n+1}\right)=y_{1}-y_{m+1} \text {, }
\]"
10,10.1,Definition,2,functional/10.1 Definition_10_2.jpg," $\quad(x+y) z=x z+y z, \quad x(y+z)=x y+x z$,"
9,9.6,Definition,13,functional/9.6 Definition_9_13.jpg,"
\[
\lim _{x \rightarrow \infty}(K * \phi)(x)=(1+\lambda) a=a \int_{-\infty}^{\infty} K(y) d y
\]"
10,10.31,Theorem,2,functional/10.31 Theorem_10_2.jpg,"
\[
\tilde{f}(x)=Q(x) .
\]"
13,13.38,Theorem,9,functional/13.38 Theorem_13_9.jpg,"
\[
\mathscr{D}(B)=\left\{x \in H: \int_{\Delta}|b|^{2} d E_{x, x}<\infty\right\} .
\]"
1,1.24,Theorem,9,functional/1.24 Theorem_1_9.jpg,"$$
\[
B_{\delta}=\{x: f(x)<\delta\}=\bigcup_{r<\delta} A(r)
\]"
13,13.32,Theorem,27,functional/13.32 Theorem_13_27.jpg,"$$
\[
E(\omega)=Q E(\omega)=Q E^{\prime}(\omega) \quad \text { if } \omega \subset \tilde{\omega} .
\]"
12,12.25,Theorem,1,functional/12.25 Theorem_12_1.jpg,"
\[
\left|\left(T x_{0}, x_{0}\right)\right|>\|T\|-\varepsilon
\]"
13,13.19,Theorem,8,functional/13.19 Theorem_13_8.jpg,"
\[
[\mathscr{R}(I-U)]^{\perp}=\mathscr{N}(I-U)=\{0\}
\]"
7,7.245,Theorem,6,functional/7.245 Theorem_7_6.jpg," $\quad(1+|y|)^{2 r}<(2 n+2)^{r}\left(1+y_{1}^{2 r}+\cdots+y_{n}^{2 r}\right)$,"
13,13.24,Theorem,2,functional/13.24 Theorem_13_2.jpg,"$$
\[
\|\Psi(f) x\|^{2}=\int_{\Omega}|f|^{2} d E_{x, x} \quad\left(x \in \mathscr{D}_{f}\right)
\]"
1,1.42,Theorem,4,functional/1.42 Theorem_1_4.jpg, $|f(x)| \leq M_{n} \quad$ if $f \in E$ and $x \in K_{n}$.
3,3.20,and,3,functional/3.20 and (b) of Theorem_3_3.jpg,"
\[
\phi: C(Q)^{*} \rightarrow X
\]"
10,10.9,Theorem,6,functional/10.9 Theorem_10_6.jpg,"
\[
\phi\left(x^{2}\right)=[\phi(x)]^{2} \quad(x \in A) .
\]"
9,9.15,Theorem,13,functional/9.15 Theorem_9_13.jpg,"
\[
\left|h_{n}(x)\right| \leq\|\phi\| \cdot\left\|\mu_{s}\right\|^{n} \quad(-\infty<x<\infty),
\]"
13,13.8,Theorem,2,functional/13.8 Theorem_13_2.jpg,"
\[
\{y, z\} \in \mathscr{G}\left(T^{*}\right) .
\]"
6,1.27,and,8,functional/1.27 and part (b) of Theorem_6_8.jpg,"
\[
\sum_{\beta \leq \alpha}(-1)^{|\beta|} c_{\alpha \beta} D^{\beta}\left(\phi D^{\alpha-\beta} f\right)=(-1)^{|\alpha|} f D^{\alpha} \phi
\]"
12,12.10,Theorem,2,functional/12.10 Theorem_12_2.jpg,"$$ $\left(x, T^{*} y\right)=0$ for every $x \in H$."
10,10.35,Theorem,6,functional/10.35 Theorem_10_6.jpg,"
\[
\mu=\max \left\{\left\|S_{1}\right\|, \ldots,\left\|S_{n}\right\|\right\} .
\]"
12,12.21,Theorem,5,functional/12.21 Theorem_12_5.jpg,"
\[
\Psi(s)=\sum_{i=1}^{n} \alpha_{i} E\left(\omega_{i}\right)
\]"
13,13.23,and,14,functional/13.23 and Theorem_13_14.jpg,"$$
\[
\int_{\Omega}\left|f_{n}\right|^{2} d E_{z, z}=\int_{\Omega}\left|\phi_{n}\right|^{2} d E_{v, v} \leq E_{v, v}(\Omega)
\]"
13,13.11,Theorem,1,functional/13.11 Theorem_13_1.jpg, $\mathscr{G}\left(T^{-1}\right)=V \mathscr{G}(-T) \quad$ and $\quad V \mathscr{G}\left(T^{-1}\right)=\mathscr{G}(-T)$
12,12.5,Theorem,3,functional/12.5 Theorem_12_3.jpg,"
\[
(\Lambda x) z-(\Lambda z) x \in \mathscr{N}(\Lambda) \quad(x \in H)
\]"
12,12.40,Theorem,1,functional/12.40 Theorem_12_1.jpg,"
\[
T_{u}\left(x^{*}\right)=T_{u}(x)^{*} \quad(x \in A),
\]"
11,11.2,Proposition,2,functional/11.2 Proposition_11_2.jpg,"
\[
\pi(x) \pi(y)=\pi(x y) \quad(x \in A, y \in A) .
\]"
11,11.2,Proposition,3,functional/11.2 Proposition_11_3.jpg,"
\[
\left\|x_{i}+y_{i}\right\| \leq\left\|\pi\left(x_{i}\right)\right\|+\delta \quad(i=1,2)
\]"
6,6.35,Theorem,1,functional/6.35 Theorem_6_1.jpg,"
\[
(u *(\phi * \psi))=\left(u *\left(\phi_{0} * \psi\right)\right) .
\]"
12,12.5,Theorem,2,functional/12.5 Theorem_12_2.jpg,"$$
\[
\|y\|^{2}=(y, y)=\Lambda y \leq\|\Lambda\|\|y\|,
\]"
13,13.30,Theorem,1,functional/13.30 Theorem_13_1.jpg,"
\[
(A x, y)=\int_{-\infty}^{\infty} t d E_{x, y}(t) \quad(x \in \mathscr{D}(A), y \in H) .
\]"
13,13.23,and,15,functional/13.23 and Theorem_13_15.jpg,"
\[
\Psi(g) \Psi(f) \subset \Psi(f) \Psi(g)
\]"
12,12.21,Theorem,4,functional/12.21 Theorem_12_4.jpg,"
\[
\Psi(\bar{f})=\Psi(f)^{*} \quad\left(f \in L^{\infty}(E)\right)
\]"
12,12.10,Theorem,3,functional/12.10 Theorem_12_3.jpg," $(T x, y)=0$ for every $x \in H$."
10,10.35,Theorem,7,functional/10.35 Theorem_10_7.jpg,"
\[
x_{N}=S_{i_{N}} T \cdots S_{i_{1}} T x_{0}=S_{i_{N}} \cdots S_{i_{1}} T^{N} x_{0}
\]"
13,13.8,Theorem,3,functional/13.8 Theorem_13_3.jpg," $\quad(T x, y)=(x, z) \quad$ for every $x \in \mathscr{D}(T)$."
9,9.15,Theorem,12,functional/9.15 Theorem_9_12.jpg,"$$
\[
\left\|\left(\mu^{n}\right)_{s}\right\| \leq\left\|\left(\mu_{s}\right)^{n}\right\| \leq\left\|\mu_{s}\right\|^{n}
\]"
10,10.9,Theorem,7,functional/10.9 Theorem_10_7.jpg,"
\[
\phi(x y+y x)=2 \phi(x) \phi(y) \quad(x \in A, y \in A) .
\]"
3,3.20,and,2,functional/3.20 and (b) of Theorem_3_2.jpg,"$$
\[
\mu(E)=\sup \{\mu(K): K \subset E\}=\inf \{\mu(G): E \subset G\}
\]"
3,3.26,Definition,1,functional/3.26 Definition_3_1.jpg,"
\[
(\Lambda f)(q)=\Lambda(f(q)) \quad(q \in Q) .
\]"
1,1.42,Theorem,5,functional/1.42 Theorem_1_5.jpg,"
\[
V_{N}=\left\{f \in C^{\infty}(\Omega): p_{N}(f)<\frac{1}{N}\right\} \quad(N=1,2,3, \ldots)
\]"
12,12.44,Theorem,4,functional/12.44 Theorem_12_4.jpg,"
\[
\lim _{n \rightarrow \infty}\left\|y-A_{n} x\right\|=0
\]"
13,13.34,Definition,2,functional/13.34 Definition_13_2.jpg,"
\[
A x=\lim _{\varepsilon \rightarrow 0} A_{\varepsilon} x
\]"
11,11.20,Theorem,6,functional/11.20 Theorem_11_6.jpg, $x=u^{2}-v^{2}+2 i u v$.
3,3.20,and,10,functional/3.20 and (b) of Theorem_3_10.jpg,"
\[
\int_{Q} \Lambda_{i} d \mu=\Lambda_{i}\left(\int_{Q} x d \mu(x)\right)=\Lambda_{i} \phi(\mu)
\]"
10,10.24,Lemma,1,functional/10.24 Lemma_10_1.jpg," $\quad \frac{1}{2 \pi i} \int_{\Gamma}(\alpha-\lambda)^{n}(\lambda e-x)^{-1} d \lambda=(\alpha e-x)^{n} \quad(n=0, \pm 1, \pm 2, \ldots)$."
7,7.245,Theorem,7,functional/7.245 Theorem_7_7.jpg,"
\[
\int_{R^{n}}(1+|y|)^{2 r}|\hat{F}(y)|^{2} d m_{n}(y)<\infty
\]"
13,13.24,Theorem,3,functional/13.24 Theorem_13_3.jpg, $\quad \Psi(f) \Psi(g) \subset \Psi(f g) \quad$ and $\quad \mathscr{D}(\Psi(f) \Psi(g))=\mathscr{D}_{g} \cap \mathscr{D}_{f g}$
13,13.19,Theorem,9,functional/13.19 Theorem_13_9.jpg, $\quad\left(T^{*}+i I\right) y=(T+i I) y_{0}=\left(T^{*}+i I\right) y_{0}$.
10,10.26,(d).,2,functional/10.26 (d). 10.28 Theorem_10_2.jpg,"
\[
(x-\alpha e) \tilde{h}(x)=\tilde{f}(x)=\tilde{h}(x)(x-\alpha e),
\]"
1,1.24,Theorem,8,functional/1.24 Theorem_1_8.jpg," $f(x+y) \leq f(x)+f(y) \quad(x \in X, y \in X)$."
13,13.38,Theorem,8,functional/13.38 Theorem_13_8.jpg,"
\[
b(p)=\lim _{n \rightarrow \infty} a_{2-n}(p)
\]"
10,10.31,Theorem,3,functional/10.31 Theorem_10_3.jpg,"
\[
P(\sigma(x))=\sigma(P(x))=\sigma=\{0\} .
\]"
9,9.6,Definition,12,functional/9.6 Definition_9_12.jpg,"
\[
(\phi * k)(x)=e^{-x} \int_{0}^{x} H(y) d y=a x+b-a+\varepsilon_{2}(x),
\]"
10,10.1,Definition,3,functional/10.1 Definition_10_3.jpg,"
\[
\alpha(x y)=(\alpha x) y=x(\alpha y)
\]"
2,2.9,Theorem,6,functional/2.9 Theorem_2_6.jpg,"
\[
z-x_{0}=p^{-1}\left(x-x_{0}\right) \in V,
\]"
2,2.9,Theorem,4,functional/2.9 Theorem_2_4.jpg,"
\[
K \subset x_{0}+p V .
\]"
10,10.1,Definition,1,functional/10.1 Definition_10_1.jpg,"
\[
x(y z)=(x y) z,
\]"
3,3.24,Theorem,2,functional/3.24 Theorem_3_2.jpg,"$$
\[
A_{i}=\overline{c o}\left(K \cap\left(x_{i}+V\right)\right) \quad(1 \leq i \leq n)
\]"
9,9.6,Definition,10,functional/9.6 Definition_9_10.jpg,"
\[
|F(x)-J(x)|<2 \log (x+2) .
\]"
13,13.32,Theorem,18,functional/13.32 Theorem_13_18.jpg," $\sum_{i=1}^{\infty} \int|\lambda|^{2} d E_{x_{i}, x_{i}}^{i}(\lambda)=\sum_{i=1}^{\infty}\left\|N P_{i} x_{i}\right\|^{2}=\sum_{i=1}^{\infty}\left\|P_{i} N x\right\|^{2}=\|N x\|^{2}$."
10,10.31,Theorem,1,functional/10.31 Theorem_10_1.jpg,"$$
\[
f(\lambda)-Q(\lambda)=P(\lambda) g(\lambda) \quad(\lambda \in \Omega)
\]"
13,13.32,Theorem,24,functional/13.32 Theorem_13_24.jpg,"$$
\[
E(\omega)=E^{T}(\phi(\omega))
\]"
13,13.32,Theorem,30,functional/13.32 Theorem_13_30.jpg,"
\[
S E(\omega)=E(\omega) S
\]"
13,13.24,Theorem,1,functional/13.24 Theorem_13_1.jpg," $\quad(\Psi(f) x, y)=\int_{\Omega} f d E_{x, y} \quad\left(x \in \mathscr{D}_{f}, y \in H\right)$"
7,7.245,Theorem,5,functional/7.245 Theorem_7_5.jpg,"$$
\[
\int_{R^{n}} y_{i}^{2 r}|\hat{F}(y)|^{2} d m_{n}(y)<\infty \quad(1 \leq i \leq n)
\]"
10,10.24,Lemma,3,functional/10.24 Lemma_10_3.jpg,"
\[
(\alpha e-x)^{-1} \cdot \frac{1}{2 \pi i} \int_{\Gamma}(\alpha-\lambda)^{n+1}(\lambda e-x)^{-1} d \lambda
\]"
11,11.20,Theorem,4,functional/11.20 Theorem_11_4.jpg,"
\[
y=\lim _{n \rightarrow \infty} y_{n},
\]"
2,2.9,Theorem,10,functional/2.9 Theorem_2_10.jpg,"$$
\[
f(E)=\Lambda\left(\pi^{-1}(E)\right)
\]"
3,3.26,Definition,3,functional/3.26 Definition_3_3.jpg,"
\[
\int_{Q} f d \mu=y
\]"
1,1.42,Theorem,7,functional/1.42 Theorem_1_7.jpg,"
\[
m_{n}=\frac{2^{n}}{\delta_{1} \cdots \delta_{n}} \quad(n=1,2,3, \ldots)
\]"
10,10.9,Theorem,5,functional/10.9 Theorem_10_5.jpg, $a^{2} \in N \quad$ if $a \in N$.
9,9.15,Theorem,10,functional/9.15 Theorem_9_10.jpg,"$$
\[
\phi=f+f * \mu+\cdots+f * \mu^{n-1}+\phi * \mu^{n}
\]"
12,12.10,Theorem,1,functional/12.10 Theorem_12_1.jpg,"
\[
T^{*} y=0 .
\]"
10,10.25,Theorem,3,functional/10.25 Theorem_10_3.jpg,"
\[
R(x)=\frac{1}{2 \pi i} \int_{\Gamma} R(\lambda)(\lambda e-x)^{-1} d \lambda
\]"
12,12.21,Theorem,6,functional/12.21 Theorem_12_6.jpg,"
\[
\Psi(s)^{*}=\sum_{i=1}^{n} \bar{\alpha}_{i} E\left(\omega_{i}\right)=\Psi(\bar{s})
\]"
3,3.1,Definition,4,functional/3.1 Definition_3_4.jpg,"
\[
f_{1}\left(x+t x_{1}\right)=f(x)+t \alpha \quad(x \in M, t \in R) .
\]"
13,13.23,and,17,functional/13.23 and Theorem_13_17.jpg,"
\[
E(\omega) \Psi(f) x=\Psi(f) E(\omega) x=\Psi(f) x .
\]"
13,13.11,Theorem,2,functional/13.11 Theorem_13_2.jpg,"$$
\[
H \times H=V \mathscr{G}\left(T^{-1}\right) \oplus \mathscr{G}\left(\left(T^{-1}\right)^{*}\right)
\]"
8,8.5,Theorem,9,functional/8.5 Theorem_8_9.jpg,"
\[
\psi=P(D) \phi
\]"
6,6.35,Theorem,3,functional/6.35 Theorem_6_3.jpg,"
\[
((u * \psi) * \phi)=\left((u * \psi) * \phi_{0}\right.
\]"
