Proposition,Statement,Proof
10.24,"Suppose $A$ is a Banach algebra, $x \in A, \alpha \in \mathbb{C}, \alpha \notin \sigma(x), \Omega$ is the complement of $\alpha$ in $\mathcal{C}$, and $\Gamma$ surrounds $\sigma(x)$ in $\Omega$. Then

$$
\frac{1}{2 \pi i} \int_{\Gamma}(\alpha-\lambda)^{n}(\lambda e-x)^{-1} d \lambda=(\alpha e-x)^{n} \quad(n=0, \pm 1, \pm 2, \ldots)
$$","Error, no proof value given."
4.21 (a),"Let $M$ be a closed subspace of a topological vector space $X$.

If $X$ is locally convex and $\operatorname{dim} M<\infty$, then $M$ is complemented in $X$.","Let $\left\{e_{1}, \ldots, e_{n}\right\}$ be a basis for $M$. Every $x \in M$ has then a unique representation

$$
x=\alpha_{1}(x) e_{1}+\cdots+\alpha_{n}(x) e_{n} .
$$

Each $\alpha_{i}$ is a continuous linear functional on $M$ (Theorem 1.21 <>  and Lemma 1.20 <> ) which extends to a member of $X^{*}$, by the Hahn-Banach theorem. Let $N$ be the intersection of the null spaces of these extensions. Then $X=M \oplus N$."
4.21 (b),"Let $M$ be a closed subspace of a topological vector space $X$.

If $\operatorname{dim}(X / M)<\infty$, then $M$ is complemented in $X$.","Let $\pi: X \rightarrow X / M$ be the quotient map, let $\left\{e_{1}, \ldots, e_{n}\right\}$ be a basis for $X / M$, pick $x_{i} \in X$ so that $\pi x_{i}=e_{i}(1 \leq i \leq n)$, and let $N$ be the vector space spanned by $\left\{x_{1}, \ldots, x_{n}\right\}$. Then $X=M \oplus N$."
4.22,"If $M$ is a subspace of a normed space $X$, if $M$ is not dense in $X$, and if $r>1$, then there exists $x \in X$ such that

$$
\|x\|<r \quad \text { but } \quad\|x-y\| \geq 1 \quad \text { for all } y \in M \text {. }
$$","There exists $x_{1} \in X$ whose distance from $M$ is 1 , that is,

$$
\inf \left\{\left\|x_{1}-y\right\|: y \in M\right\}=1
$$

Choose $y_{1} \in M$ such that $\left\|x_{1}-y_{1}\right\|<r$, and put $x=x_{1}-y_{1}$."
12.19,"Suppose $E$ is a resolution of the identity. If $\omega_{n} \in \mathfrak{M}$ and $E\left(\omega_{n}\right)=0$ for $n=1,2,3, \ldots$, and if $\omega=\bigcup_{n=1}^{\infty} \omega_{n}$, then $E(\omega)=0$.","Since $E\left(\omega_{n}\right)=0, E_{x, x}\left(\omega_{n}\right)=0$ for every $x \in H$. Since $E_{x, x}$ is countably additive, it follows that $E_{x, x}(\omega)=0$. But $\|E(\omega) x\|^{2}=$ $E_{x, x}(\omega)$. Hence $E(\omega)=0$."
10.6,"If $\phi$ is a complex homomorphism on a complex algebra $A$ with unit $e$, then $\phi(e)=1$, and $\phi(x) \neq 0$ for every invertible $x \in A$.","For some $y \in A, \phi(y) \neq 0$. Since

$$
\phi(y)=\phi(y e)=\phi(y) \phi(e)
$$

it follows that $\phi(e)=1$. If $x$ is invertible, then

$$
\phi(x) \phi\left(x^{-1}\right)=\phi\left(x x^{-1}\right)=\phi(e)=1 \text {, }
$$

so that $\phi(x) \neq 0$."
11.2 (a),No proper ideal of $A$ contains any invertible element of $A$.,nan
11.2 (b),"If $J$ is an ideal in a commutative Banach algebra $A$, then its closure $\bar{J}$ is also an ideal.",nan
13.18 (a),"Suppose $U$ is an operator in $H$ which is an isometry: $\|U x\| = \|x\|$ for every $x \in \mathscr{D}(U)$: If $x \in \mathscr{D}(U)$ and $y \in \mathscr{D}(U)$, then $(U x, U y)=(x, y)$",Any of the identities listed in Exercise 2 of Chapter 12 proves (a).
13.18 (b),"Suppose $U$ is an operator in $H$ which is an isometry: $\|U x\| = \|x\|$ for every $x \in \mathscr{D}(U)$: If $\mathscr{R}(I-U)$ is dense in $H$, then $I-U$ is one-to-one","To prove $(b)$, suppose $x \in \mathscr{D}(U)$ and $(I-U) x=0$, that is, $x=U x$. Then

$$
(x,(I-U) y)=(x, y)-(x, U y)=(U x, U y)-(x, U y)=0
$$

for every $y \in \mathscr{D}(U)$. Thus $x \perp \mathscr{R}(I-U)$, so that $x=0$ if $\mathscr{R}(I-U)$ is dense in $H$."
13.18 (c),"Suppose $U$ is an operator in $H$ which is an isometry: $\|U x\| = \|x\|$ for every $x \in \mathscr{D}(U)$: If any one of the three spaces $\mathscr{D}(U), \mathscr{R}(U)$, and $\mathscr{G}(U)$ is closed, so are the other two","The proof of $(c)$ is a consequence of the relations

$$
\|U x-U y\| = \|x-y\| = \frac{1}{\sqrt{2}}\|\{x, U x\}-\{y, U y\}\|
$$

which hold for all $x, y \in \mathscr{D}(U)$."
8.9 (a),Every distribution with compact support lies in some $H^{s}$.,"If $u \in \mathscr{D}^{\prime}\left(R^{n}\right)$ has compact support, (a) of Theorem 7.23 <<
\[
f(z)=u\left(\phi_{z}\right) .
\]>,<
\[
|f(z)| \leq \gamma_{0}\left\|\phi_{z}\right\|_{N} .
\]>,< $\quad \phi_{z}(t)=e^{-i z \cdot t} h(|t||z|-r|z|) \quad\left(t \in R^{n}\right)$.>,<
\[
\left|e^{-i z \cdot t}\right|=e^{y \cdot t} \leq e^{2+r|\operatorname{Im} z|}
\]>,<
\[
|f(x)| \leq \gamma(1+|x|)^{N} \quad\left(x \in R^{n}\right) .
\]>,<
\[
F=\int_{\Gamma} e_{-a-\lambda b} d \lambda
\]>,<
\[
\hat{u}(x)=u\left(e_{-x}\right) \quad\left(x \in R^{n}\right) .
\]>,<
\[
f_{\varepsilon}(z)=f(z) \hat{h}_{\varepsilon}(z) \quad\left(z \in \mathbb{C}^{n}\right)
\]>,<$$
\[
g(\lambda)=f(a+\lambda b)=u\left(e_{-a-\lambda b}\right) \quad(\lambda \in \mathbb{C})
\]>,<
\[
f(z)=u\left(e_{-z}\right) \quad\left(z \in \mathbb{C}^{n}\right)
\]>,<$$
\[
|f(z)| \leq \gamma(1+|z|)^{N} e^{r|\operatorname{Im} z|} \quad\left(z \in \mathbb{C}^{n}\right) .
\]>,<
\[
\hat{u}=(\psi u)^{\wedge}=\hat{u} * \hat{\psi}
\]>>  shows that

$$
|\hat{u}(y)| \leq C\left(1^{\cdot}+|y|\right)^{N} \quad\left(y \in R^{n}\right)
$$

for some constants $C$ and $N$. Hence $u \in H^{s}$ if $s<-N-n / 2$. This proves part $(a)"
8.9 (b),"If $-\infty<t<\infty$, the mapping $u \rightarrow v$ given by

$$
\hat{v}(y)=\left(1+|y|^{2}\right)^{t / 2} \hat{u}(y) \quad\left(y \in R^{n}\right)
$$

is a linear isometry of $H^{s}$ onto $H^{s-t}$ and is therefore an operator of order $t$ whose inverse has order $-t$.",nan
8.9 (c),"If $b \in L^{\infty}\left(R^{n}\right)$, the mapping $u \rightarrow v$ given by $\hat{v}=b \hat{u}$ is an operator of order 0 .",nan
8.9 (d),"For every multi-index $\alpha, D_{\alpha}$ is an operator of order $|\alpha|$.","The relation

$$
\left|\left(D_{\alpha} u\right)^{\wedge}(y)\right|=\left|y^{\alpha}\right||\hat{u}(y)| \leq\left(1+|y|^{2}\right)^{|\alpha| / 2}|
\hat{u}(y)|
$$

implies

$$
\left\|D_{\alpha} u\right\|_{s-|\alpha|} \leq\|u\|_{s}
$$

so that $(d)$ holds."
