Theorem,Statement,Proof
1.23,"If $X$ is a locally bounded topological vector space with the Heine-Borel property, then $X$ has finite dimension.","By assumption, the origin of $X$ has a bounded neighborhood $V$. Statement $(f)$ of Theorem 1.13 shows that $\bar{V}$ is also bounded. Thus $\bar{V}$ is compact, by the Heine-Borel property. This says that $X$ is locally compact, hence finite-dimensional, by Theorem 1.22."
2.8,"If $\left\{\Lambda_{n}\right\}$ is a sequence of continuous linear mappings from an $F$-space $X$ into a topological vector space $Y$, and if

$$
\Lambda x=\lim _{n \rightarrow \infty} \Lambda_{n} x
$$

exists for every $x \in X$, then $\Lambda$ is continuous.","Theorem 2.6 implies that $\left\{\Lambda_{n}\right\}$ is equicontinuous. Therefore if $W$ is a neighborhood of 0 in $Y$, we have $\Lambda_{n}(V) \subset W$ for all $n$ and for some neighborhood $V$ of 0 in $X$. It follows that $\Lambda(V) \subset \bar{W}$; hence (being obviously linear) $\Lambda$ is continuous."
4.24 (a),"Suppose $X$ is a Banach space, $T \in \mathscr{B}(X), T$ is compact, $r>0$, and $E$ is a set of eigenvalues $\lambda$ of $T$ such that $|\lambda|>r$. Then for each $\lambda \in E, \mathscr{R}(T-\lambda I) \neq X",
4.24 (b),"Suppose $X$ is a Banach space, $T \in \mathscr{B}(X), T$ is compact, $r>0$, and $E$ is a set of eigenvalues $\lambda$ of $T$ such that $|\lambda|>r$. Then $E$ is a finite set.",
1.17,"Let $X$ and $Y$ be topological vector spaces. If $\Lambda: X \rightarrow Y$ is linear and continuous at 0, then $\Lambda$ is continuous. In fact, $\Lambda$ is uniformly continuous, in the following sense: To each neighborhood $W$ of 0 in $Y$ corresponds a neighborhood $V$ of 0 in $X$ such that

$$
y-x \in V \text { implies } \Lambda y-\Lambda x \in W .
$$","Once $W$ is chosen, the continuity of $\Lambda$ at 0 shows that $\Lambda V \subset W$ for some neighborhood $V$ of 0. If now $y-x \in V$, the linearity of $\Lambda$ shows that $\Lambda y-\Lambda x=\Lambda(y-x) \in W$. Thus $\Lambda$ maps the neighborhood $x+V$ of $x$ into the preassigned neighborhood $\Lambda x+W$ of $\Lambda x$, which says that $\Lambda$ is continuous at $x$."
2.4,"Suppose $X$ and $Y$ are topological vector spaces, $\Gamma$ is an equicontinuous collection of linear mappings from $X$ into $Y$, and $E$ is a bounded subset of $X$. Then $Y$ has a bounded subset $F$ such that $\Lambda(E) \subset F$ for every $\Lambda \in \Gamma$.","Let $F$ be the union of the sets $\Lambda(E)$, for $\Lambda \in \Gamma$. Let $W$ be a neighborhood of 0 in $Y$. Since $\Gamma$ is equicontinuous, there is a neighborhood $V$ of 0 in $X$ such that $\Lambda(V) \subset W$ for all $\Lambda \in \Gamma$. Since $E$ is bounded, $E \subset t V$ for all sufficiently large $t$. For these $t$,

$$
\Lambda(E) \subset \Lambda(t V)=t \Lambda(V) \subset t W
$$

so that $F \subset t W$. Hence $F$ is bounded."
3.17,"If $V$ is a neighborhood of 0 in a separable topological vector space $X$, and if $\left\{\Lambda_{n}\right\}$ is a sequence in $X^{*}$ such that

$$
\left|\Lambda_{n} x\right| \leq 1 \quad(x \in V, n=1,2,3, \ldots)
$$

then there is a subsequence $\left\{\Lambda_{n_{i}}\right\}$ and there is $a \Lambda \in X^{*}$ such that

$$
\Lambda x=\lim _{i \rightarrow \infty} \Lambda_{n_{i}} x \quad(x \in X)
$$

In other words, the polar of $V$ is sequentially compact in the weak*topology.",Combine Theorems 3.15 and 3.16.
2.6,"If $\Gamma$ is a collection of continuous linear mappings from an $F$-space $X$ into a topological vector space $Y$, and if the sets

$$
\Gamma(x)=\{\Lambda x: \Lambda \in \Gamma\}
$$

are bounded in $Y$, for every $x \in X$, then $\Gamma$ is equicontinuous.","Briefly, pointwise boundedness implies uniform boundedness (Theorem 2.4).

As a special case of Theorem 2.6, let $X$ and $Y$ be Banach spaces, and suppose that

$$
\sup _{\Lambda \in \Gamma}\|\Lambda x\|<\infty \quad \text { for every } x \in X
$$

The conclusion is that there exists $M<\infty$ such that

$$
\|\Lambda x\| \leq M \quad \text { if }\|x\| \leq 1 \text { and } \Lambda \in \Gamma \text {. }
$$

Hence

$$
\|\Lambda x\| \leq M\|x\| \quad \text { if } x \in X \text { and } \Lambda \in \Gamma \text {. }
$$"
1.39,A topological vector space $X$ is normable if and only if its origin has a convex bounded neighborhood.,"If $X$ is normable, and if $\|\cdot\|$ is a norm that is compatible with the topology of $X$, then the open unit ball $\{x:\|x\|<1\}$ is convex and bounded.

For the converse, assume $V$ is a convex bounded neighborhood of 0 . By Theorem 1.14, $V$ contains a convex balanced neighborhood $U$ of 0 ; of course, $U$ is also bounded. Define

$$
\|x\|=
\mu(x) \quad(x \in X)
$$

where $\mu$ is the Minkowski functional of $U$.

By $(c)$ of Theorem 1.15, the sets $r U(r>0)$ form a local base for the topology of $X$. If $x \neq 0$, then $x \notin r U$ for some $r>0$; hence $\|x\| \geq r$. It now follows from Theorem 1.35 that (1) defines a norm. The definition of the Minkowski functional, together with the fact that $U$ is open, implies that

$$
\{x:\|x\|<r\}=r U
$$

for every $r>0$. The norm topology coincides therefore with the given one."
3.12,Suppose $E$ is a convex subset of a locally convex space $X$. Then the weak closure $\bar{E}_{w}$ of $E$ is equal to its original closure $\bar{E}$.,"$\bar{E}_{w}$ is weakly closed, hence originally closed, so that $\bar{E} \subset \bar{E}_{w}$. To obtain the opposite inclusion, choose $x_{0} \in X, x_{0} \notin \bar{E}$. Part $(b)$ of the separation theorem 3.4 shows that there exist $\Lambda \in X^{*}$ and $\gamma \in R$ such that, for every $x \in \bar{E}$,

$$
\operatorname{Re} \Lambda x_{0}<\gamma<\operatorname{Re} \Lambda x .
$$

The set $\{x: \operatorname{Re} \Lambda x<\gamma\}$ is therefore a weak neighborhood of $x_{0}$ that does not intersect $E$. Thus $x_{0}$ is not in $\bar{E}_{w}$. This proves $\bar{E}_{w} \subset \bar{E}$."
