Theorem,Statement,Proof,References
1.10,"Suppose $K$ and $C$ are subsets of a topological vector space $X, K$ is compact, $C$ is closed, and $K \cap C=\varnothing$. Then 0 has a neighborhood $V$ such that

$$
(K+V) \cap(C+V)=\varnothing
$$","0 has a neighborhood $V$ such that  $$ (K+V) \cap(C+V)=\varnothing $$ (Note: Note that $K+V$ is a union of translates $x+V$ of $V(x \in K)$. Thus $K+V$ is an open set that contains $K$. The theorem thus implies the existence of disjoint open sets that contain $K$ and $C$, respectively.)",
1.13 (a),"Let $X$ be a topological vector space. If $A \subset X$ then $\bar{A}=\bigcap(A+V)$, where $V$ runs through all neighborhoods of 0 .","$x \in \bar{A}$ if and only if $(x+V) \cap A \neq \varnothing$ for every neighborhood $V$ of 0 , and this happens if and only if $x \in A-V$ for every such $V$. Since $-V$ is a neighborhood of 0 if and only if $V$ is one, the proof is complete.",
1.13 (b),"Let $X$ be a topological vector space. If $A \subset X$ and $B \subset X$, then $\bar{A}+\bar{B} \subset \overline{A+B}$.","Take $a \in \bar{A}, b \in \bar{B}$; let $W$ be a neighborhood of $a+b$. There are neighborhoods $W_{1}$ and $W_{2}$ of $a$ and $b$ such that $W_{1}+W_{2} \subset W$. There exist $x \in A \cap W_{1}$ and $y \in B \cap W_{2}$, since $a \in \bar{A}$ and $b \in \bar{B}$. Then $x+y$ lies in $(A+B) \cap W$, so that this intersection is not empty. Consequently, $a+b \in \overline{A+B}$.",
1.13 (c),"Let $X$ be a topological vector space. If $Y$ is a subspace of $X$, so is $\bar{Y}$.","Suppose $\alpha$ and $\beta$ are scalars. By the proposition in Section 1.7, $a \bar{Y}=\overline{\alpha Y}$ if $\alpha \neq 0$; if $\alpha=0$, these two sets are obviously equal. Hence it follows from $1.13 (b)$ that  $$ \alpha \bar{Y}+\beta \bar{Y}=\overline{\alpha Y}+\overline{\beta Y} \subset \overline{\alpha Y+\beta Y} \subset \bar{Y} $$  the assumption that $Y$ is a subspace was used in the last inclusion.",
1.13 (d),"Let $X$ be a topological vector space. If $C$ is a convex subset of $X$, so are $\bar{C}$ and $C^{\circ}$.","Since $C^{\circ} \subset C$ and $C$ is convex, we have  $$ t C^{\circ}+(1-t) C^{\circ} \subset C $$  if $0<t<1$. The two sets on the left are open; hence so is their sum. Since every open subset of $C$ is a subset of $C^{\circ}$, it follows that $C^{\circ}$ is convex.",
1.13 (e),"Let $X$ be a topological vector space. If $B$ is a balanced subset of $X$, so is $\bar{B}$; if also $0 \in B^{\circ}$ then $B^{\circ}$ is balanced.","If $0<|\alpha| \leq 1$, then $\alpha B^{\circ}=(\alpha B)^{\circ}$, since $x \rightarrow \alpha x$ is a homeomorphism. Hence $\alpha B^{\circ} \subset \alpha B \subset B$, since $B$ is balanced. But $\alpha B^{\circ}$ is open. So $\alpha B^{\circ} \subset B^{\circ}$. If $B^{\circ}$ contains the origin, then $\alpha B^{\circ} \subset B^{\circ}$ even for $\alpha=0$.",
1.13 (f),"Let $X$ be a topological vector space. If $E$ is a bounded subset of $X$, so is $\bar{E}$.","Let $V$ be a neighborhood of 0 . By Theorem 1.11, $\bar{W} \subset V$ for some neighborhood $W$ of 0 . Since $E$ is bounded, $E \subset t W$ for all sufficiently large $t$. For these $t$, we have $\bar{E} \subset t \bar{W} \subset t V$.","If $A$ is a commutative Banach algebra and

$$
r=\inf \frac{\left\|x^{2}\right\|}{\|x\|^{2}}, \quad s=\inf \frac{\|\hat{x}\|_{\infty}}{\|x\|} \quad(x \in A, x \neq 0)
$$
then $s^{2} \leq r \leq s$.;  ;  ; "
1.14 (a),"In a topological vector space $X$, every neighborhood of 0 contains a balanced neighborhood of 0 .","Suppose $U$ is a neighborhood of 0 in $X$. Since scalar multiplication is continuous, there is a $\delta>0$ and there is a neighborhood $V$ of 0 in $X$ such that $\alpha V \subset U$ whenever $|\alpha|<\delta$. Let $W$ be the union of all these sets $\alpha V$. Then $W$ is a neighborhood of $0, W$ is balanced, and $W \subset U$.",
1.14 (b),"In a topological vector space $X$, every convex neighborhood of 0 contains a balanced convex neighborhood of 0 .","Suppose $U$ is a convex neighborhood of 0 in $X$. Let $A=\bigcap \alpha U$, where $\alpha$ ranges over the scalars of absolute value 1 . Choose $W$ as in part $1.14 (a)$. Since $W$ is balanced, $\alpha^{-1} W=W$ when $|\alpha|=1$; hence $W \subset \alpha U$. Thus $W \subset A$, which implies that the interior $A^{\circ}$ of $A$ is a neighborhood of 0 . Clearly $A^{\circ} \subset U$. Being an intersection of convex sets, $A$ is convex; hence so is $A^{\circ}$. To prove that $A^{\circ}$ is a neighborhood with the desired properties, we have to show that $A^{\circ}$ is balanced; for this it suffices to prove that $A$ is balanced. Choose $r$ and $\beta$ so that $0 \leq r \leq 1,|\beta|=1$. Then  $$ r \beta A=\bigcap_{|\alpha|=1} r \beta \alpha U=\bigcap_{|\alpha|=1} r \alpha U $$  Since $\alpha U$ is a convex set that contains 0 , we have $r \alpha U \subset \alpha U$. Thus $r \beta A \subset A$, which completes the proof.",
1.15 (a),"Suppose $V$ is a neighborhood of 0 in a topological vector space $X$ and $0<r_{1}<r_{2}<\cdots$ and $r_{n} \rightarrow \infty$ as $n \rightarrow \infty$, then

$$
X=\bigcup_{n=1}^{\infty} r_{n} V
$$","Fix $x \in X$. Since $\alpha \rightarrow \alpha x$ is a continuous mapping of the scalar field into $X$, the set of all $\alpha$ with $\alpha x \in V$ is open, contains 0 , hence contains $1 / r_{n}$ for all large $n$. Thus $\left(1 / r_{n}\right) x \in V$, or $x \in r_{n} V$, for large $n$.",
