Definition,Statement
1.30,"If $a, b$ are real and $z=a+b i$, then the complex number $\bar{z}=a-b i$ is called the conjugate of $z$. The numbers $a$ and $b$ are the real part and the imaginary part of $z$, respectively.

We shall occasionally write

$$
a=\operatorname{Re}(z), \quad b=\operatorname{Im}(z)
$$"
2.26,"For a metric space $X$ and a subset $E \subset X$: If $E^{
\prime}$ denotes the set of all limit points of $E$ in $X$, then the closure of $E$ is the set $E=E \cup E^{
\prime}$."
1.6,"An ordered set is a set $S$ in which an order is defined.

For example, $Q$ is an ordered set if $r<s$ is defined to mean that $s-r$ is a positive rational number."
2.31,By an open cover of a set $E$ in a metric space $X$ we mean a collection $\left\{G_{\alpha}\right\}$ of open subsets of $X$ such that $E \subset \bigcup_{\alpha} G_{\alpha}$.
1.7,"For an ordered set $S$ and a subset $E \subset S$: If there exists a $\beta \in S$ such that $x \leq \beta$ for every $x \in E$, we say that $E$ is bounded above, and call $\beta$ an upper bound of $E$. Lower bounds are defined in the same way (with $\geq$ in place of $\leq$ )."
3.8,"For a metric space $X$: A sequence $\left\{p_{n}\right\}$ in a metric space $X$ is said to be a Cauchy sequence if for every $\varepsilon>0$ there is an integer $N$ such that $d\left(p_{n}, p_{m}\right)<\varepsilon$ if $n \geq N$ and $m \geq N$."
1.4,"Throughout Chap. 1, the set of all rational numbers will be denoted by $Q$."
3.12,A metric space in which every Cauchy sequence converges is said to be complete.
1.27,"$i=(0,1)$."
1.24,"A complex number is an ordered pair $(a, b)$ of real numbers. ""Ordered"" means that $(a, b)$ and $(b, a)$ are regarded as distinct if $a \neq b$. Let $x=(a, b), y=(c, d)$ be two complex numbers. We write $x=y$ if and only if $a=c$ and $b=d$. We define

$$
\begin{aligned}
x+y & =(a+c, b+d) \\
x y & =(a c-b d, a d+b c) .
\end{aligned}
$$"
2.45,"For a metric space $X$ and subsets $A$ and $B$ of $X$: Two subsets $A$ and $B$ of a metric space $X$ are said to be separated if both $A \cap \bar{B}$ and $\bar{A} \cap B$ are empty, i.e., if no point of $A$ lies in the closure of $B$ and no point of $B$ lies in the closure of $A$.

A set $E \subset X$ is said to be connected if $E$ is not a union of two nonempty separated sets."
2.46,"Separated sets are of course disjoint, but disjoint sets need not be separated. For example, the interval $[0,1]$ and the segment $(1,2)$ are not separated, since 1 is a limit point of $(1,2)$. However, the segments $(0,1)$ and $(1,2)$ are separated."
2.1,"Consider two sets $A$ and $B$, whose elements may be any objects whatsoever, and suppose that with each element $x$ of $A$ there is associated, in some manner, an element of $B$, which we denote by $f(x)$. Then $f$ is said to be a function from $A$ to $B$ (or a mapping of $A$ into $B$ ). The set $A$ is called the domain of $f$ (we also say $f$ is defined on $A$ ), and the elements $f(x)$ are called the values of $f$. The set of all values of $f$ is called the range of $f$."
1.3 (a),"If $A$ is any set (whose elements may be numbers or any other objects), we write $x \in A$ to indicate that $x$ is a member (or an element) of $A$."
1.3 (b),"If $x$ is not a member of $A$, we write: $x \notin A$."
1.3 (c),"The set which contains no element will be called the empty set. If a set has at least one element, it is called nonempty."
