Theorem,Statement,Proof,References
1.19,"There exists an ordered field $R$ which has the least-upper-bound property. Moreover, $R$ contains $Q$ as a subfield.",The proof of Theorem 1.19 is rather long and a bit tedious and is therefore presented in an Appendix to Chap. 1. The proof actually constructs $R$ from $Q$.,"There exists an ordered field $R$ which has the least-upper-bound property. Moreover, $R$ contains $Q$ as a subfield.;  ;  ; "
1.20 (a),"If $x \in R, y \in R$, and $x>0$, then there is a positive integer $n$ such that

$$
n x>y .
$$","Let $A$ be the set of all $n x$, where $n$ runs through the positive integers. If (a) were false, then $y$ would be an upper bound of $A$. But then $A$ has a least upper bound in $R$. Put $\alpha=\sup A$. Since $x>0, \alpha-x<\alpha$, and $\alpha-x$ is not an upper bound of $A$. Hence $\alpha-x<m x$ for some positive integer $m$. But then $\alpha<(m+1) x \in A$, which is impossible, since $\alpha$ is an upper bound of $A$.",
1.20 (b),"If $x \in R, y \in R$, and $x<y$, then there exists a $p \in Q$ such that $x<p<y$.","Since $x<y$, we have $y-x>0$, and (a) furnishes a positive integer $n$ such that  $$ n(y-x)>1 \text {. } $$  Apply (a) again, to obtain positive integers $m_{1}$ and $m_{2}$ such that $m_{1}>n x$, $m_{2}>-n x$. Then  $$ -m_{2}<n x<m_{1} \text {. } $$  Hence there is an integer $m$ (with $-m_{2} \leq m \leq m_{1}$ ) such that  $$ m-1 \leq n x<m . $$  If we combine these inequalities, we obtain  $$ n x<m \leq 1+n x<n y . $$  Since $n>0$, it follows that  $$ x<\frac{m}{n}<y \text {. } $$  This proves $(b)$, with $p=m / n$.",
1.21,"For every real $x>0$ and every integer $n>0$ there is one and only one positive real $y$ such that $y^{n}=x$.

This number $y$ is written $\sqrt[n]{x}$ or $x^{1 / n}$.","That there is at most one such $y$ is clear, since $0<y_{1}<y_{2}$ implies $y_{1}^{n}<y_{2}^{n}$.  Let $E$ be the set consisting of all positive real numbers $t$ such that $t^{n}<x$.  If $t=x /(1+x)$ then $0 \leq t<1$. Hence $t^{n} \leq t<x$. Thus $t \in E$, and $E$ is not empty.  If $t>1+x$ then $t^{n} \geq t>x$, so that $t \notin E$. Thus $1+x$ is an upper bound of $E.  Hence Theorem 1.19 implies the existence of  $$ y=\sup E . $$  To prove that $y^{n}=x$ we will show that each of the inequalities $y^{n}<x$ and $y^{n}>x$ leads to a contradiction.  The identity $b^{n}-a^{n}=(b-a)\left(b^{n-1}+b^{n-2} a+\cdots+a^{n-1}\right)$ yields the inequality  $$ b^{n}-a^{n}<(b-a) n b^{n-1} $$  when $0<a<b$.  Assume $y^{n}<x$. Choose $h$ so that $0<h<1$ and  $$ h<\frac{x-y^{n}}{n(y+1)^{n-1}} $$  Put $a=y, b=y+h$. Then  $$ (y+h)^{n}-y^{n}<h n(y+h)^{n-1}<h n(y+1)^{n-1}<x-y^{n} . $$  Thus $(y+h)^{n}<x$, and $y+h \in E$. Since $y+h>y$, this contradicts the fact that $y$ is an upper bound of $E$.  Assume $y^{n}>x$. Put  $$ k=\frac{y^{n}-x}{n y^{n-1}} $$  Then $0<k<y$. If $t \geq y-k$, we conclude that  $$ y^{n}-t^{n} \leq y^{n}-(y-k)^{n}<k n y^{n-1}=y^{n}-x $$  Thus $t^{n}>x$, and $t \notin E$. It follows that $y-k$ is an upper bound of $E.  But $y-k<y$, which contradicts the fact that $y$ is the least upper bound of $E.  Hence $y^{n}=x$, and the proof is complete.","There exists an ordered field $R$ which has the least-upper-bound property. Moreover, $R$ contains $Q$ as a subfield.;  ;  ; "
1.25,"These definitions of addition and multiplication turn the set of all complex numbers into a field, with $(0,0)$ and $(1,0)$ in the role of 0 and 1 .","We simply verify the field axioms, as listed in Definition 1.12. (Of course, we use the field structure of $R$.)  Let $x=(a, b), y=(c, d), z=(e, f)$. (A1) is clear. (A2) $x+y=(a+c, b+d)=(c+a, d+b)=y+x$. (A3)  $$ \begin{aligned} (x+y)+z & =(a+c, b+d)+(e, f) \\ & =(a+c+e, b+d+f) \\ & =(a, b)+(c+e, d+f)=x+(y+z) \end{aligned} $$  (A4) $x+0=(a, b)+(0,0)=(a, b)=x$.  (A5) Put $-x=(-a,-b)$. Then $x+(-x)=(0,0)=0$.  (M1) is clear.  (M2) $x y=(a c-b d, a d+b c)=(c a-d b, d a+c b)=y x$.  (M3) $(x y) z=(a c-b d, a d+b c)(e, f)$  $=(a c e-b d e-a d f-b c f, a c f-b d f+a d e+b c e)$  $=(a, b)(c e-d f, c f+d e)=x(y z)$.  (M4) $1 x=(1,0)(a, b)=(a, b)=x$.  (M5) If $x \neq 0$ then $(a, b) \neq(0,0)$, which means that at least one of the real numbers $a, b$ is different from 0 . Hence $a^{2}+b^{2}>0$, by Proposition $1.18(d)$, and we can define  $$ \frac{1}{x}=\left(\frac{a}{a^{2}+b^{2}}, \frac{-b}{a^{2}+b^{2}}\right) $$  Then  $$ x \cdot \frac{1}{x}=(a, b)\left(\frac{a}{a^{2}+b^{2}}, \frac{-b}{a^{2}+b^{2}}\right)=(1,0)=1 . $$  $$ \begin{aligned} x(y+z) & =(a, b)(c+e, d+f) \\ & =(a c+a e-b d-b f, a d+a f+b c+b e) \\ & =(a c-b d, a d+b c)+(a e-b f, a f+b e) \\ & =x y+x z . \end{aligned} $$",
1.26,"For any real numbers $a$ and $b$ we have

$$
(a, 0)+(b, 0)=(a+b, 0), \quad(a, 0)(b, 0)=(a b, 0)
$$

The proof is trivial.","Theorem 1.26 shows that the complex numbers of the form $(a, 0)$ have the same arithmetic properties as the corresponding real numbers $a$. We can therefore identify $(a, 0)$ with $a$. This identification gives us the real field as a subfield of the complex field.","For any real numbers $a$ and $b$ we have

$$
(a, 0)+(b, 0)=(a+b, 0), \quad(a, 0)(b, 0)=(a b, 0)
$$

The proof is trivial.;  ;  ; "
1.28,$i^{2}=-1$,"$i^{2}=(0,1)(0,1)=(-1,0)=-1$",
1.29,"If $a$ and $b$ are real, then $(a, b)=a+b i$","$$ \begin{aligned} a+b i & =(a, 0)+(b, 0)(0,1) \\ & =(a, 0)+(0, b)=(a, b) . \end{aligned} $$",
1.31 (d),"If $z$ and $w$ are complex, then $z \bar{z}$ is real and positive (except when $z=0$ ).","write $z=a+b i$, and note that $z \bar{z}=a^{2}+b^{2}$.",
1.33 (c),Let $z$ and $w$ be complex numbers. Then $|z w|=|z||w|$,"Put $z=a+b i, w=c+d i$, with $a, b, c, d$ real. Then  $$ |z w|^{2}=(a c-b d)^{2}+(a d+b c)^{2}=\left(a^{2}+b^{2}\right)\left(c^{2}+d^{2}\right)=|z|^{2}|w|^{2} $$  or $|z w|^{2}=(|z||w|)^{2}$. Now $(c)$ follows from the uniqueness assertion of Theorem 1.21.","For every real $x>0$ and every integer $n>0$ there is one and only one positive real $y$ such that $y^{n}=x$.

This number $y$ is written $\sqrt[n]{x}$ or $x^{1 / n}$.;  ;  ; "
