Definition,Statement
2.15,"For a measure $\mu$ defined on the $\sigma$-algebra of all Borel sets in a locally compact Hausdorff space $X$: A measure $\mu$ defined on the $\sigma$-algebra of all Borel sets in a locally compact Hausdorff space $X$ is called a Borel measure on $X. If $\mu$ is positive, a Borel set $E \subset X$ is outer regular or inner regular, respectively, if $E$ has property $(c)$ or $(d)$ of Theorem 2.14 <> . If every Borel set in $X$ is both outer and inner regular, $\mu$ is called regular."
3.16,"For a locally compact Hausdorff space $X$: A complex function $f$ on $X$ is said to vanish at infinity if to every $\epsilon>0$ there exists a compact set $K \subset X$ such that $|f(x)|<\epsilon$ for all $x$ not in $K$. The class of all continuous $f$ on $X$ which vanish at infinity is called $C_{0}(X)$. It is clear that $C_{c}(X) \subset C_{0}(X)$, and that the two classes coincide if $X$ is compact. In that case we write $C(X)$ for either of them."
2.16,"A set $E$ in a topological space is called $\sigma$-compact if $E$ is a countable union of compact sets. A set $E$ in a measure space (with measure $\mu$ ) is said to have $\sigma$-finite measure if $E$ is a countable union of sets $E_{i}$ with $\mu\left(E_{i}\right)<\infty$. For example, in the situation described in Theorem 2.14 <> , every $\sigma$ compact set has $\sigma$-finite measure. Also, it is easy to see that if $E \in \mathfrak{M}$ and $E$ has $\sigma$-finite measure, then $E$ is inner regular."
1.30,"We define $L^{1}(\mu)$ to be the collection of all complex measurable functions $f$ on $X$ for which

$$
\int_{X}|f| d \mu<\infty
$$

Note that the measurability of $f$ implies that of $|f|$, as we saw in Proposition $1.9(b)$; hence the above integral is defined.

The members of $L^{1}(\mu)$ are called Lebesgue integrable functions (with respect to $\mu$ ) or summable functions. The significance of the exponent 1 will become clear in Chap. 3."
3.4,"If $p$ and $q$ are positive real numbers such that $p+q=p q$, or equivalently

$$
\frac{1}{p}+\frac{1}{q}=1
$$
then we call $p$ and $q$ a pair of conjugate exponents. It is clear that (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> implies $1<p<\infty$ and $1<q<\infty$. An important special case is $p=q=2$.

As $p \rightarrow 1$, (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> forces $q \rightarrow \infty$. Consequently 1 and $\infty$ are also regarded as a pair of conjugate exponents. Many analysts denote the exponent conjugate to $p$ by $p^{\prime}$, often without saying so explicitly."
4.13 (a),"If $V$ is a vector space, if $x_{1}, \ldots, x_{k} \in V$, and if $c_{1}, \ldots, c_{k}$ are scalars, then $c_{1} x_{1}+\cdots+c_{k} x_{k}$ is called a linear combination of $x_{1}, \ldots, x_{k}$. The set $\left\{x_{1}, \ldots, x_{k}\right\}$ is called independent if $c_{1} x_{1}+\cdots+c_{k} x_{k}=0$ implies that $c_{1}=\cdots=c_{k}=0$. A set $S \subset V$ is independent if every finite subset of $S$ is independent. The set $[S]$ of all linear combinations of all finite subsets of $S$ (also called the set of all finite linear combinations of members of $S$ ) is clearly a vector space; $[S]$ is the smallest subspace of $V$ which contains $S$; $[S]$ is called the span of $S$, or the space spanned by $S$."
6.7,"{'Let $\\mu$ be a positive measure on a $\\sigma$-algebra $\\mathfrak{M}$, and let $\\lambda$ be an arbitrary measure on $\\mathfrak{M}$; $\\lambda$ may be positive or complex. We say that $\\lambda$ is absolutely continuous with respect to $\\mu$, and write\n\n$$\n\\lambda \\ll \\mu\n$$\n\nif $\\lambda(E)=0$ for every $E \\in \\mathfrak{M}$ for which $\\mu(E)=0$. If there is a set $A \\in \\mathfrak{M}$ such that $\\lambda(E)=\\lambda(A \\cap E)$ for every $E \\in \\mathfrak{M}$, we say that $\\lambda$ is concentrated on $A$. This is equivalent to the hypothesis that $\\lambda(E)=0$ whenever $E \\cap A=\\varnothing$. Suppose $\\lambda_{1}$ and $\\lambda_{2}$ are measures on $\\mathfrak{M}$, and suppose there exists a pair of disjoint sets $A$ and $B$ such that $\\lambda_{1}$ is concentrated on $A$ and $\\lambda_{2}$ is concentrated on $B$. Then we say that $\\lambda_{1}$ and $\\lambda_{2}$ are mutually singular, and write\n\n$$\n\\lambda_{1} \\perp \\lambda_{2} .\n$$ Here are some elementary properties of these concepts.': 'Definition'}"
1.16,"For a measurable space $X$: A complex function $s$ on a measurable space $X$ whose range consists of only finitely many points will be called a simple function. Among these are the nonnegative simple functions, whose range is a finite subset of $[0, \infty)$. Note that we explicitly exclude $\infty$ from the values of a simple function.

If $\alpha_{1}, \ldots, \alpha_{n}$ are the distinct values of a simple function $s$, and if we set $A_{i}=\left\{x: s(x)=\alpha_{i}\right\}$, then clearly

$$
s=\sum_{i=1}^{n} \alpha_{i} \chi_{A_{i}}
$$

where $\chi_{A_{i}}$ is the characteristic function of $A_{i}$, as defined in Sec. 1.9(d).

It is also clear that $s$ is measurable if and only if each of the sets $A_{i}$ is measurable."
1.31,"If $f=u+i v$, where $u$ and $v$ are real measurable functions on $X$, and if $f \in L^{1}(\mu)$, we define

$$
\int_{E} f d \mu=\int_{E} u^{+} d \mu-\int_{E} u^{-} d \mu+i \int_{E} v^{+} d \mu-i \int_{E} v^{-} d \mu
$$

for every measurable set $E$.

Here $u^{+}$and $u^{-}$are the positive and negative parts of $u$, as defined in Sec. $1.15 ; v^{+}$and $v^{-}$are similarly obtained from $v$. These four functions are measurable, real, and nonnegative; hence the four integrals on the right of (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> exist, by Definition 1.23 <> . Furthermore, we have $u^{+} \leq|u|<|f|$, etc., so that
each of these four integrals is finite. Thus (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> defines the integral on the left as a complex number.

Occasionally it is desirable to define the integral of a measurable function $f$ with range in $[-\infty, \infty]$ to be

$$
\int_{E} f d \mu=\int_{E} f^{+} d \mu-\int_{E} f^{-} d \mu
$$

provided that at least one of the integrals on the right of (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$> is finite. The left side of $(2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$>$ is then a number in $[-\infty, \infty]$."
8.4,"{'With each function $f$ on $X \\times Y$ and with each $x \\in X$ we associate a function $f_{x}$ defined on $Y$ by $f_{x}(y)=f(x, y)$.\n\nSimilarly, if $y \\in Y, f^{y}$ is the function defined on $X$ by $f^{y}(x)=f(x, y)$.\n\nSince we are now dealing with three $\\sigma$-algebras, $\\mathscr{S}, \\mathscr{T}$, and $\\mathscr{S} \\times \\mathscr{T}$, we shall, for the sake of clarity, indicate in the sequel to which of these three $\\sigma$-algebras the word ""measurable"" refers.': None}"
