Type,Formula#,Type#,latex
1.13,6,Definition,$\left(\sup _{n} f_{n}\right)(x)=\sup _{n}\left(f_{n}(x)\right)$
1.13,7,Definition,
1.13,5,Definition,$\limsup _{n \rightarrow \infty} a_{n}=\lim _{n \rightarrow \infty} \inf a_{n}=\lim _{n \rightarrow \infty} a_{n}$.
1.13,4,Definition,$\liminf _{n \rightarrow \infty} a_{n}=-\limsup _{n \rightarrow \infty}\left(-a_{n}\right)$
1.13,1,Definition,"$b_{k}=\sup \left\{a_{k}, a_{k+1}, a_{k+2}, \ldots\right\} \quad(k=1,2,3, \ldots)$"
1.13,3,Definition,$\beta=\limsup _{n \rightarrow \infty} a_{n}$.
1.13,2,Definition,"$\beta=\inf \left\{b_{1}, b_{2}, b_{3}, \ldots\right\}$"
1.13,8,Definition,"$f(x)=\lim _{n \rightarrow \infty} f_{n}(x)$,"
1.17,2,Theorem,$t-\delta_{n}<\varphi_{n}(t) \leq t \quad$ if $0 \leq t \leq n$
1.17,3,Theorem,$s_{n}=\varphi_{n} \circ f$
1.17,1,Theorem,$\varphi_{n}(t)=\left\{\begin{array}{ll}k_{n}(t) \delta_{n} & \text { if } 0 \leq t<n \\ n & \text { if } n \leq t \leq \infty\end{array}\right.$
1.18,1,Definition,$\mu\left(\bigcup_{i=1}^{\infty} A_{i}\right)=\sum_{i=1}^{\infty} \mu\left(A_{i}\right)$
1.23,2,Definition,$\int_{E} s d \mu=\sum_{i=1}^{n} \alpha_{i} \mu\left(A_{i} \cap E\right)$.
1.23,3,Definition,$\int_{E} f d \mu=\sup \int_{E} s d \mu$
1.23,1,Definition,$s=\sum_{i=1}^{n} \alpha_{i} \chi_{A_{i}}$
1.24,4,Theorem,$h^{+}+f^{-}+g^{-}=f^{+}+g^{+}+h^{-}$.
1.24,2,Theorem,$\int_{X}(f+g) d \mu=\int_{X} f d \mu+\int_{X} g d \mu$
1.24,3,Theorem,"$\int_{X}(\alpha f) d \mu=\alpha \int_{X} f d \mu$,"
1.25,2,Proposition,$\int_{X}(s+t) d \mu=\int_{X} s d \mu+\int_{X} t d \mu$.
1.25,1,Proposition,$\varphi(E)=\int_{E} s d \mu$
1.25,6,Theorem,$\alpha \geq \int_{x} s d \mu$
1.25,7,Theorem,$\alpha \geq \int_{X} f d \mu$
1.25,5,Theorem,$\alpha \geq c \int_{X} s d \mu$
1.26,3,Theorem,"$E_{n}=\left\{x: f_{n}(x) \geq c s(x)\right\} \quad(n=1,2,3, \ldots)$"
1.26,2,Theorem,$\alpha \leq \int_{X} f d \mu$
1.26,1,Theorem,$\int_{X} f_{n} d \mu \rightarrow \alpha \quad$ as $n \rightarrow \infty$.
1.26,4,Theorem,"$\int_{X} f_{n} d \mu \geq \int_{E_{n}} f_{n} d \mu \geq c \int_{E_{n}} s d \mu \quad(n=1,2,3, \ldots)$"
1.27,4,Theorem,$\int_{X} g_{N} d \mu=\sum_{n=1}^{N} \int_{X} f_{n} d \mu$.
1.27,1,Theorem,$f(x)=\sum_{n=1}^{\infty} f_{n}(x) \quad(x \in X)$
1.27,3,Theorem,$\int_{X}\left(f_{1}+f_{2}\right) d \mu=\int_{X} f_{1} d \mu+\int_{X} f_{2} d \mu$.
1.28,1,Lemma,$\int_{X}\left(\underset{n \rightarrow \infty}{\liminf f_{n}}\right) d \mu \leq \liminf _{n \rightarrow \infty} \int_{X} f_{n} d \mu$.
1.28,2,Lemma,"$g_{k}(x)=\inf _{i \geq k} f_{i}(x) \quad(k=1,2,3, \ldots ; x \in X)$"
1.28,3,Lemma,"$\int_{X} g_{k} d \mu \leq \int_{X} f_{k} d \mu \quad(k=1,2,3, \ldots)$"
1.29,2,Theorem,$\int_{X} g d \varphi=\int_{X} g f d \mu$
1.29,1,Theorem,$\varphi(E)=\int_{E} f d \mu \quad(E \in \mathfrak{M})$
1.29,5,Theorem,$\varphi(E)=\sum_{j=1}^{\infty} \varphi\left(E_{j}\right)$
1.29,4,Theorem,"$\varphi(E)=\int_{X} \chi_{E} f d \mu, \quad \varphi\left(E_{j}\right)=\int_{X} \chi_{E_{j}} f d \mu$."
1.29,6,Theorem,$d \varphi=f d \mu$.
1.31,1,Definition,$\int_{E} f d \mu=\int_{E} u^{+} d \mu-\int_{E} u^{-} d \mu+i \int_{E} v^{+} d \mu-i \int_{E} v^{-} d \mu$
1.31,2,Definition,$\int_{E} f d \mu=\int_{E} f^{+} d \mu-\int_{E} f^{-} d \mu$
1.32,1,Theorem,$\int_{X}(\alpha f+\beta g) d \mu=\alpha \int_{X} f d \mu+\beta \int_{X} g d \mu$.
1.34,4,Theorem,$\lim _{n \rightarrow \infty} \int_{X} f_{n} d \mu=\int_{X} f d \mu$.
1.34,5,Theorem,$\limsup _{n \rightarrow \infty} \int_{X}\left|f_{n}-f\right| d \mu \leq 0$
