Proposition,Statement,Proof
10.17,"Morera's Theorem Suppose $f$ is a continuous complex function in an open set $\Omega$ such that

$$
\int_{\partial \Delta} f(z) d z=0
$$

for every closed triangle $\Delta \subset \Omega$. Then $f \in H(\Omega)$.","Let $V$ be a convex open set in $\Omega$. As in the proof of Theorem 10.14 <> , we can construct $F \in H(V)$ such that $F^{\prime}=f$. Since derivatives of holomorphic functions are holomorphic (Theorem 10.16 <> ), we have $f \in H(V)$, for every convex open $V \subset \Omega$, hence $f \in H(\Omega)"
9.8,"If $f \in L^{1}$, then

$$
\left(f * h_{\lambda}\right)(x)=\int_{-\infty}^{\infty} H(\lambda t) \hat{f}(t) e^{i x t} d m(t)
$$","This is a simple application of Fubini's theorem.

$$
\begin{aligned}
\left(f * h_{\lambda}\right)(x) & =\int_{-\infty}^{\infty} f(x-y) d m(y) \int_{-\infty}^{\infty} H(\lambda t) e^{i t y} d m(t) \\
& =\int_{-\infty}^{\infty} H(\lambda t) d m(t) \int_{-\infty}^{\infty} f(x-y) e^{i t y} d m(y) \\
& =\int_{-\infty}^{\infty} H(\lambda t) d m(t) \int_{-\infty}^{\infty} f(y) e^{i t(x-y)} d m(y) \\
& =\int_{-\infty}^{\infty} H(\lambda t) \hat{f}(t) e^{i t x} d m(t) .
\end{aligned}
$$"
6.5,"If $\mu$ and $\lambda$ are complex measures on the same $\sigma$-algebra $\mathfrak{M}$, we define $\mu+\lambda$ and $c \mu$ by

$$
\begin{aligned}
(\mu+\lambda)(E) & =\mu(E)+\lambda(E) \\
(c \mu)(E) & =c \mu(E)
\end{aligned}
$$

for any scalar $c$, in the usual manner. It is then trivial to verify that $\mu+\lambda$ and $c \mu$ are complex measures. The collection of all complex measures on $\mathfrak{M}$ is thus a vector space. If we put

$$
\|\mu\|=|\mu|(X)
$$

it is easy to verify that all axioms of a normed linear space are satisfied.","Error, no proof value given."
6.6,"Let us now specialize and consider a real measure $\mu$ on a $\sigma$-algebra $\mathfrak{M}$. (Such measures are frequently called signed measures.) Define $|\mu|$ as before, and define

$$
\mu^{+}=\frac{1}{2}(|\mu|+\mu), \quad \mu^{-}=\frac{1}{2}(|\mu|-\mu)
$$

Then both $\mu^{+}$and $\mu^{-}$are positive measures on $\mathfrak{M}$, and they are bounded, by Theorem 6.4 <<
\[
\alpha \phi-\alpha_{0} \phi_{0} \in W
\]>,<
\[
\alpha \phi-\alpha_{0} \phi_{0}=\alpha\left(\phi-\phi_{0}\right)+\left(\alpha-\alpha_{0}\right) \phi_{0}
\]>,< $\quad \sup \left\{\|\phi\|_{N}: \phi \in E\right\}<\infty \quad(N=0,1,2, \ldots)$.>,< $\phi-\phi_{i}+\delta_{i} W_{i} \subset\left(1-\delta_{i}\right) W_{i}+\delta_{i} W_{i}=W_{i}$,>,<
\[
W=\left\{\phi \in \mathscr{D}(\Omega):\|\phi\|_{0}<\left\|\phi_{1}-\phi_{2}\right\|_{0}\right\},
\]>,<
\[
\left(\psi_{1}+\frac{1}{2} W\right)+\left(\psi_{2}+\frac{1}{2} W\right)=\left(\psi_{1}+\psi_{2}\right)+W
\]>,<
\[
\phi-\phi_{i} \in\left(1-\delta_{i}\right) W_{i}
\]>,<$$
\[
\phi \in \phi_{i}+W_{i} \subset V_{i} \quad(i=1,2) .
\]>,<
\[
\phi+W \subset V_{1} \cap V_{2}
\]>> . Also,

$$
\mu=\mu^{+}-\mu^{-}, \quad|\mu|=\mu^{+}+\mu^{-} .
$$

The measures $\mu^{+}$and $\mu^{-}$are called the positive and negative variations of $\mu$, respectively. This representation of $\mu$ as the difference of the positive measures $\mu^{+}$ and $\mu^{-}$is known as the Jordan decomposition of $\mu$. Among all representations of $\mu$ as a difference of two positive measures, the Jordan decomposition has a certain minimum property which will be established as a corollary to Theorem 6.14 <>  .","Error, no proof value given."
5.11,"A Convergence Problem Is it true for every $f \in C(T)$ that the Fourier series of $f$ converges to $f(x)$ at every point $x$ ?

Let us recall that the $n$th partial sum of the Fourier series of $f$ at the point $x$ is given by

$$
s_{n}(f ; x)=\frac{1}{2 \pi} \int_{-\pi}^{\pi} f(t) D_{n}(x-t) d t \quad(n=0,1,2, \ldots)
$$

where

$$
D_{n}(t)=\sum_{k=-n}^{n} e^{i k t}
$$

This follows directly from formulas 4.26(1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> and 4.26(3) <$$
\[
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
\]$$>.

The problem is to determine whether

$$
\lim _{n \rightarrow \infty} s_{n}(f ; x)=f(x)
$$

for every $f \in C(T)$ and for every real $x$. We observed in Sec. 4.26 that the partial sums do converge to $f$ in the $L^{2}$-norm, and Theorem 3.12 <>  implies therefore that each $f \in L^{2}(T)$ [hence also each $f \in C(T)$ ] is the pointwise limit a.e. of some subsequence of the full sequence of the partial sums. But this does not answer the present question.

We shall see that the Banach-Steinhaus theorem answers the question negatively. Put

$$
s^{*}(f ; x)=\sup _{n}\left|s_{n}(f ; x)\right| .
$$

To begin with, take $x=0$, and define

$$
\Lambda_{n} f=s_{n}(f ; 0) \quad(f \in C(T) ; n=1,2,3, \ldots)
$$

We know that $C(T)$ is a Banach space, relative to the supremum norm $\|f\|_{\infty}$. It follows from (1) <$$
\[
\left(x+V_{x}+V_{x}\right) \cap\left(C+V_{x}\right)=\varnothing
\]$$> that each $\Lambda_{n}$ is a bounded linear functional on $C(T)$, of norm

$$
\left\|\Lambda_{n}\right\| \leq \frac{1}{2 \pi} \int_{-\pi}^{\pi}\left|D_{n}(t)\right| d t=\left\|D_{n}\right\|_{1}
$$

We claim that

$$
\left\|\Lambda_{n}\right\| \rightarrow \infty \quad \text { as } n \rightarrow \infty
$$

This will be proved by showing that equality holds in (6) <$$
\[
A(r)+A(s) \subset A(r+s) \quad(r \in D, s \in D) .
\]$$> and that

$$
\left\|D_{n}\right\|_{1} \rightarrow \infty \quad \text { as } n \rightarrow \infty \text {. }
$$
Multiply (2) <$$
\[
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
\]$$> by $e^{i t / 2}$ and by $e^{-i t / 2}$ and subtract one of the resulting two equations from the other, to obtain

$$
D_{n}(t)=\frac{\sin \left(n+\frac{1}{2}\right) t}{\sin (t / 2)}
$$
Since $|\sin x| \leq|x|$ for all real $x$, (9) <$$
\[
B_{\delta}=\{x: f(x)<\delta\}=\bigcup_{r<\delta} A(r)
\]$$> shows that

$$
\begin{aligned}
\left\|D_{n}\right\|_{1} & >\frac{2}{\pi} \int_{0}^{\pi}\left|\sin \left(n+\frac{1}{2}\right) t\right| \frac{d t}{t}=\frac{2}{\pi} \int_{0}^{(n+1 / 2) \pi}|\sin t| \frac{d t}{t} \\
& >\frac{2}{\pi} \sum_{k=1}^{n} \frac{1}{k \pi} \int_{(k-1) \pi}^{k \pi}|\sin t| d t=\frac{4}{\pi^{2}} \sum_{k=1}^{n} \frac{1}{k} \rightarrow \infty,
\end{aligned}
$$
which proves (8) <$$ f(x+y) \leq f(x)+f(y) \quad(x \in X, y \in X).$$>.

Next, fix $n$, and put $g(t)=1$ if $D_{n}(t) \geq 0, g(t)=-1$ if $D_{n}(t)<0$. There exist $f_{j} \in C(T)$ such that $-1 \leq f_{j} \leq 1$ and $f_{j}(t) \rightarrow g(t)$ for every $t$, as $j \rightarrow \infty$. By the dominated convergence theorem,

$$
\lim _{j \rightarrow \infty} \Lambda_{n}\left(f_{j}\right)=\lim _{j \rightarrow \infty} \frac{1}{2 \pi} \int_{-\pi}^{\pi} f_{j}(-t) D_{n}(t) d t=\frac{1}{2 \pi} \int_{-\pi}^{\pi} g(-t) D_{n}(t) d t=\left\|D_{n}\right\|_{1} .
$$
Thus equality holds in (6) <$$
\[
A(r)+A(s) \subset A(r+s) \quad(r \in D, s \in D) .
\]$$>, and we have proved (7) <$$ A(r) \subset A(r)+A(t-r) \subset A(t) \quad if \quad r<t.$$>.

Since (7) <$$ A(r) \subset A(r)+A(t-r) \subset A(t) \quad if \quad r<t.$$> holds, the Banach-Steinhaus theorem asserts now that $s^{*}(f ; 0)=\infty$ for every $f$ in some dense $G_{\delta}$-set in $C(T)$.

We chose $x=0$ just for convenience. It is clear that the same result holds for every other $x$ :

To each real number $x$ there corresponds a set $E_{x} \subset C(T)$ which is a dense $G_{\delta}$ in $C(T)$, such that $s^{*}(f ; x)=\infty$ for every $f \in E_{x}$.

In particular, the Fourier series of each $f \in E_{x}$ diverges at $x$, and we have a negative answer to our question. (Exercise 22 shows the answer is positive if mere continuity is replaced by a somewhat stronger smoothness assumption.)

It is interesting to observe that the above result can be strengthened by another application of Baire's theorem. Let us take countably many points $x_{i}$, and let $E$ be the intersection of the corresponding sets

$$
E_{x_{i}} \subset C(T)
$$
By Baire's theorem, $E$ is a dense $G_{\delta}$ in $C(T)$. Every $f \in E$ has

$$
s^{*}\left(f ; x_{i}\right)=\infty
$$
at every point $x_{i}$.

For each $f, s^{*}(f ; x)$ is a lower semicontinuous function of $x$, since (4) <$$ f(x)=\inf \{r: x \in A(r)\} \quad(x \in X)$$> exhibits it as the supremum of a collection of continuous functions. Hence $\left\{x: s^{*}(f ; x)=\infty\right\}$ is a $G_{\delta}$ in $R^{1}$, for each $f$. If the above points $x_{i}$ are taken so that their union is dense in $(-\pi, \pi)$, we obtain the following result:","Error, no proof value given."
1.15,"If $f=g-h, g \geq 0$, and $h \geq 0$, then $f^{+} \leq g$ and $f^{-} \leq h$.","$f \leq g$ and $0 \leq g$ clearly implies $\max \{f, 0\} \leq g$."
16.10,"Suppose that $D_{0} \cap D_{1} \cap D_{2} \neq \varnothing,\left(D_{0}, f_{0}\right) \sim\left(D_{1}, f_{1}\right)$, and $\left(D_{1}, f_{1}\right) \sim\left(D_{2}, f_{2}\right)$. Then $\left(D_{0}, f_{0}\right) \sim\left(D_{2}, f_{2}\right)$.","By assumption, $f_{0}=f_{1}$ in $D_{0} \cap D_{1}$ and $f_{1}=f_{2}$ in $D_{1} \cap D_{2}$. Hence $f_{0}=f_{2}$ in the nonempty open set $D_{0} \cap D_{1} \cap D_{2}$. Since $f_{0}$ and $f_{2}$ are holomorphic in $D_{0} \cap D_{2}$ and $D_{0} \cap D_{2}$ is connected, it follows that $f_{0}=f_{2}$ in $D_{0} \cap D_{2}$."
1.24 (a),"For measurable functions and sets: If $0 \leq f \leq g$, then $\int_{E} f d \mu \leq \int_{E} g d \mu$.",nan
1.24 (b),"For measurable functions and sets: If $A \subset B$ and $f \geq 0$, then $\int_{A} f d \mu \leq \int_{B} f d \mu$.",nan
1.24 (c),"For measurable functions and sets, $f \geq 0$ and $c$ is a constant, $0 \leq c<\infty$: $\int_{E} c f d \mu=c \int_{E} f d \mu$.",nan
1.24 (d),"For measurable functions and sets: If $f(x)=0$ for all $x \in E$, then $\int_{E} f d \mu=0$, even if $\mu(E)=\infty$.",nan
1.24 (e),"For measurable functions and sets: If $\mu(E)=0$, then $\int_{E} f d \mu=0$, even if $f(x)=\infty$ for every $x \in E$.",nan
1.24 (f),"For measurable functions and sets, $f \geq 0$: $\int_{E} f d \mu=\int_{X} \chi_{E} f d \mu$.","This last result shows that we could have restricted our definition of integration to integrals over all of $X$, without losing any generality. If we wanted to integrate over subsets, we could then use $(f)$ as the definition. It is purely a matter of taste which definition is preferred.

One may also remark here that every measurable subset $E$ of a measure space $X$ is again a measure space, in a perfectly natural way: The new measurable sets are simply those measurable subsets of $X$ which lie in $E$, and the measure is unchanged, except that its domain is restricted. This shows again that as soon as we have integration defined over every measure space, we automatically have it defined over every measurable subset of every measure space."
6.8 (a),"Suppose, $\mu, \lambda, \lambda_{1}$, and $\lambda_{2}$ are measures on a $\sigma$-algebra $\mathfrak{M}$, and $\mu$ is positive: If $\lambda$ is concentrated on $A$, so is $|\lambda|$","If $E \cap A=\varnothing$ and $\left\{E_{j}\right\}$ is any partition of $E$, then $\lambda\left(E_{j}\right)=0$ for all $j$. Hence $|\lambda|(E)=0$."
